year,state,fairness_measure,demographic_category,demographic_group,value_type,value,coalesced_n
2004,AK,Conditional Statistical Parity - Small,race,Asian,difference,0.04241315552527487,1231
2004,AK,Conditional Statistical Parity - Small,race,Black,difference,0.07450882717560235,917
2004,AK,Conditional Statistical Parity - Small,sex,Female,difference,-0.01149224258113198,7587
2004,AK,Conditional Statistical Parity - Small,race,Hispanic,difference,0.00746984786619456,593
2004,AL,Conditional Statistical Parity - Small,race,Asian,difference,0.00986669807839464,1868
2004,AL,Conditional Statistical Parity - Small,race,Black,difference,0.1512664598464712,49216
2004,AL,Conditional Statistical Parity - Small,sex,Female,difference,0.04850200886478122,71151
2004,AL,Conditional Statistical Parity - Small,race,Hispanic,difference,0.07829911380926767,2253
2004,AR,Conditional Statistical Parity - Small,race,Asian,difference,0.01441462016349853,1117
2004,AR,Conditional Statistical Parity - Small,race,Black,difference,0.14931899234228518,11677
2004,AR,Conditional Statistical Parity - Small,sex,Female,difference,0.03237035079957646,30115
2004,AR,Conditional Statistical Parity - Small,race,Hispanic,difference,0.00986609780177821,2931
2004,AZ,Conditional Statistical Parity - Small,race,Asian,difference,-6.759267731029866e-4,12186
2004,AZ,Conditional Statistical Parity - Small,race,Black,difference,0.09846100407241222,12809
2004,AZ,Conditional Statistical Parity - Small,sex,Female,difference,0.0037357686493004,122214
2004,AZ,Conditional Statistical Parity - Small,race,Hispanic,difference,0.07156359775353618,62784
2004,CA,Conditional Statistical Parity - Small,race,Asian,difference,0.00505874179392646,307433
2004,CA,Conditional Statistical Parity - Small,race,Black,difference,0.09606911452721988,156137
2004,CA,Conditional Statistical Parity - Small,sex,Female,difference,0.00672686188434894,653406
2004,CA,Conditional Statistical Parity - Small,race,Hispanic,difference,0.06139605970675294,423473
2004,CO,Conditional Statistical Parity - Small,race,Asian,difference,3.0719727263130717e-4,7964
2004,CO,Conditional Statistical Parity - Small,race,Black,difference,0.10140832809504852,12534
2004,CO,Conditional Statistical Parity - Small,sex,Female,difference,-0.00141892683711731,104636
2004,CO,Conditional Statistical Parity - Small,race,Hispanic,difference,0.09094901747583566,34229
2004,CT,Conditional Statistical Parity - Small,race,Asian,difference,0.0169246840610141,4910
2004,CT,Conditional Statistical Parity - Small,race,Black,difference,0.1272573783722789,17816
2004,CT,Conditional Statistical Parity - Small,sex,Female,difference,0.00777584646509483,60190
2004,CT,Conditional Statistical Parity - Small,race,Hispanic,difference,0.0962973375066101,11627
2004,DC,Conditional Statistical Parity - Small,race,Asian,difference,0.05982365053954475,973
2004,DC,Conditional Statistical Parity - Small,race,Black,difference,0.12987122264742096,15554
2004,DC,Conditional Statistical Parity - Small,sex,Female,difference,-0.0121779944361375,13461
2004,DC,Conditional Statistical Parity - Small,race,Hispanic,difference,0.12118942550756256,1111
2004,DE,Conditional Statistical Parity - Small,race,Asian,difference,-0.01485497158453816,1172
2004,DE,Conditional Statistical Parity - Small,race,Black,difference,0.14172158942092497,9387
2004,DE,Conditional Statistical Parity - Small,sex,Female,difference,0.02158983740298614,18000
2004,DE,Conditional Statistical Parity - Small,race,Hispanic,difference,0.04933076976292817,1388
2004,FL,Conditional Statistical Parity - Small,race,Asian,difference,0.01636017241925742,27739
2004,FL,Conditional Statistical Parity - Small,race,Black,difference,0.10333335748667082,146686
2004,FL,Conditional Statistical Parity - Small,sex,Female,difference,0.0127684224191584,419355
2004,FL,Conditional Statistical Parity - Small,race,Hispanic,difference,0.03977126567170471,200382
